"","member_casual","weekday","number_of_rides","average_duration"
"1","casual","Sun",181293,3581.40538796313
"2","casual","Mon",103296,3372.28692301735
"3","casual","Tue",90510,3596.35994917689
"4","casual","Wed",92457,3718.66189688179
"5","casual","Thu",102679,3682.98467067268
"6","casual","Fri",122404,3773.83511159766
"7","casual","Sat",209543,3331.91384107319
"8","member","Sun",267965,919.974616087922
"9","member","Mon",472196,842.572569441503
"10","member","Tue",508445,826.142747003117
"11","member","Wed",500329,823.999644234094
"12","member","Thu",484177,823.92780326203
"13","member","Fri",452790,824.530506415778
"14","member","Sat",287958,968.933722973489
